year,month,day,p,pet,q,max_temp,min_temp
1948,4,18,0,3.671,0.7048,31.0722,12.0389
1948,4,19,0.27,3.706,0.5758,30.3778,13.9222
1948,4,20,0,3.74,0.4908,29.3,14.1889
1948,4,21,0,3.775,0.4562,29.3278,14.0611
1948,4,22,0.11,3.808,0.4247,29.6556,12.9333
1948,4,23,1.52,3.842,0.409,29.0722,13.4389
1948,4,24,2.22,3.876,0.3964,29.3833,15.6167
1948,4,25,4.62,3.909,0.5034,29.0611,16.9167
1948,4,26,26.67,3.942,2.4666,28.3389,14.3389
1948,4,27,0,3.974,4.971,29.7389,13.1389
1948,4,28,0,4.006,4.0586,31.2333,15.5444
1948,4,29,0,4.038,1.5165,29.1167,11.6111
1948,4,30,0,4.07,0.7645,28.15,11.4278
1948,5,1,0,4.101,0.5758,30.2056,15.4667
1948,5,2,0,4.132,0.4908,31.7889,19.1944
1948,5,3,0.61,4.163,0.4562,31.4389,20.1889
1948,5,4,11.25,4.193,0.4247,30.5111,19.45
1948,5,5,0.2,4.223,1.1452,29.1056,17.6056
1948,5,6,32.05,4.252,2.2338,26.2722,14.1889
1948,5,7,0,4.282,4.2789,24.8556,10.5
1948,5,8,0,4.31,3.8384,26.4667,9.7722
1948,5,9,2.33,4.339,1.441,29.8444,15.4333
1948,5,10,0.16,4.367,0.8054,31.0778,18.0333
1948,5,11,0.1,4.394,0.6292,30.8611,19.5611
1948,5,12,0.03,4.421,0.5412,31.1556,17.4944
1948,5,13,0.02,4.448,0.4908,29.3333,17.7444
1948,5,14,0.05,4.474,0.4405,29.4111,14.9167
1948,5,15,0,4.5,0.409,30.95,12.5056
1948,5,16,0.5,4.525,0.3964,31.1222,15.7778
1948,5,17,0.11,4.55,0.3807,32.5056,18.2833
1948,5,18,0,4.574,0.3807,30.55,18.1944
1948,5,19,0,4.598,0.3964,30.8667,16.4056
1948,5,20,0,4.621,0.3964,31.75,12.8333
1948,5,21,0,4.644,0.3461,32.5722,14.5778
1948,5,22,0,4.667,0.3366,32.5722,15.2
1948,5,23,0,4.688,0.3241,32.8556,16.6056
1948,5,24,0,4.71,0.3241,32.4333,17.4667
1948,5,25,5.45,4.731,0.3209,32.2111,17.1278
1948,5,26,2.14,4.751,0.3146,31.65,17.8833
1948,5,27,33.23,4.771,0.3933,28.8722,18.3333
1948,5,28,1.75,4.79,1.507,28.0611,17.6611
1948,5,29,0,4.809,0.5758,29.6333,16.9333
1948,5,30,0,4.827,0.3964,31.4333,17.3222
1948,5,31,0,4.844,0.3524,31.4389,17.4556
1948,6,1,0,4.861,0.3209,31.9611,17.2056
1948,6,2,0,4.878,0.3052,31.8944,14.5056
1948,6,3,0,4.894,0.2957,31.8333,14.0833
1948,6,4,0,4.909,0.2895,33.3278,15.5222
1948,6,5,0,4.924,0.2863,33.4056,16.9333
1948,6,6,0.24,4.938,0.2832,33.3444,18.3333
1948,6,7,0.01,4.952,0.28,33.5944,20.4056
1948,6,8,9.85,4.965,0.2769,34.6167,21.2333
1948,6,9,18.19,4.977,0.28,34.5056,21.0722
1948,6,10,0.05,4.989,0.3713,33.3722,18.3111
1948,6,11,0.07,5,0.5065,33.8222,19.8556
1948,6,12,3.17,5.011,0.3335,34.9111,21.0889
1948,6,13,4.33,5.021,0.2895,34.35,20.2
1948,6,14,2.66,5.03,0.28,34.4722,20.7056
1948,6,15,1.3,5.039,0.2863,34.7944,20.95
1948,6,16,1.33,5.047,0.2863,34.8556,21.8667
1948,6,17,0.44,5.054,0.2737,34.9833,21.2444
1948,6,18,0.3,5.061,0.2643,35,22.7444
1948,6,19,0.23,5.067,0.2643,35.7111,22.4111
1948,6,20,5.49,5.073,0.2611,35.6444,22.75
1948,6,21,7.27,5.078,0.258,34.9833,21.8444
1948,6,22,1.46,5.082,0.2895,33.7722,22.0389
1948,6,23,0.18,5.086,0.2674,34.0111,22.6056
1948,6,24,0.01,5.089,0.258,35.0556,21.7222
1948,6,25,0.22,5.092,0.2517,36.0611,22.5444
